iter	Passed	Remaining
409	4982	13247
410	4996	13238
411	5007	13223
412	5020	13213
413	5033	13203
414	5046	13193
415	5058	13181
416	5070	13169
417	5081	13153
418	5091	13136
419	5103	13123
420	5116	13114
421	5128	13101
422	5141	13091
423	5153	13079
424	5167	13070
425	5180	13061
426	5193	13051
427	5205	13038
428	5219	13031
429	5231	13016
430	5242	13003
431	5254	12990
432	5266	12976
433	5276	12961
434	5289	12949
435	5301	12936
436	5312	12921
437	5322	12905
438	5333	12890
439	5344	12875
440	5353	12856
441	5365	12842
442	5375	12825
443	5386	12810
444	5398	12798
445	5409	12783
446	5419	12766
447	5430	12752
448	5441	12736
449	5452	12721
450	5464	12711
451	5478	12701
452	5489	12688
453	5501	12674
454	5514	12664
455	5526	12651
456	5538	12639
457	5549	12626
458	5561	12614
459	5572	12598
460	5585	12589
461	5598	12577
462	5611	12568
463	5623	12556
464	5634	12541
465	5647	12530
466	5658	12516
467	5669	12502
468	5682	12491
469	5693	12477
470	5704	12462
471	5716	12449
472	5728	12438
473	5740	12425
474	5752	12414
475	5765	12402
476	5776	12389
477	5788	12375
478	5799	12362
479	5812	12351
480	5823	12337
481	5834	12322
482	5846	12310
483	5857	12295
484	5869	12283
485	5881	12271
486	5893	12258
487	5902	12240
488	5913	12226
489	5925	12213
490	5937	12202
491	5949	12189
492	5963	12181
493	5976	12170
494	5988	12158
495	6000	12145
496	6012	12134
497	6025	12123
498	6036	12108
499	6046	12093
500	6058	12080
501	6068	12064
502	6080	12051
503	6092	12040
504	6105	12030
505	6118	12019
506	6131	12008
507	6141	11993
508	6153	11980
509	6164	11965
510	6176	11953
511	6193	11952
512	6211	11951
513	6229	11950
514	6244	11943
515	6257	11932
516	6271	11925
517	6284	11913
518	6295	11900
519	6308	11888
520	6321	11877
521	6332	11864
522	6345	11853
523	6355	11838
524	6367	11825
525	6379	11812
526	6391	11799
527	6404	11789
528	6415	11776
529	6428	11766
530	6441	11755
531	6452	11739
532	6464	11728
533	6476	11715
534	6487	11702
535	6499	11689
536	6512	11678
537	6525	11668
538	6539	11658
539	6551	11646
540	6562	11632
541	6573	11619
542	6586	11607
543	6596	11592
544	6608	11580
545	6621	11568
546	6631	11554
547	6643	11541
548	6653	11525
549	6664	11512
550	6676	11499
551	6687	11485
552	6701	11475
553	6712	11461
554	6724	11449
555	6735	11436
556	6749	11426
557	6759	11411
558	6772	11400
559	6783	11386
560	6795	11373
561	6806	11360
562	6817	11346
563	6828	11333
564	6840	11320
565	6854	11310
566	6866	11299
567	6879	11288
568	6892	11277
569	6904	11265
570	6915	11250
571	6927	11238
572	6940	11227
573	6951	11214
574	6963	11201
575	6974	11188
576	6986	11176
577	6999	11164
578	7009	11149
579	7021	11137
580	7032	11124
581	7043	11109
582	7055	11097
583	7067	11085
584	7080	11073
585	7090	11059
586	7101	11045
587	7112	11031
588	7124	11018
589	7134	11003
590	7147	10992
591	7159	10980
592	7172	10970
593	7183	10955
594	7194	10942
595	7206	10929
596	7218	10918
597	7230	10906
598	7242	10894
599	7253	10879
600	7267	10870
601	7279	10858
602	7291	10846
603	7304	10836
604	7317	10825
605	7328	10811
606	7340	10799
607	7351	10785
608	7363	10772
609	7374	10758
610	7385	10746
611	7397	10734
612	7410	10722
613	7422	10710
614	7434	10698
615	7445	10684
616	7458	10673
617	7468	10658
618	7481	10648
619	7493	10635
620	7506	10624
621	7517	10612
622	7531	10602
623	7543	10590
624	7555	10578
625	7567	10565
626	7580	10554
627	7592	10541
628	7602	10527
629	7614	10515
630	7628	10506
631	7640	10493
632	7652	10481
633	7665	10470
634	7676	10456
635	7685	10441
636	7697	10428
637	7710	10417
638	7722	10405
639	7733	10391
640	7744	10377
641	7755	10365
642	7766	10351
643	7778	10339
644	7790	10326
645	7802	10314
646	7814	10302
647	7826	10290
648	7837	10276
649	7850	10265
650	7861	10253
651	7871	10238
652	7884	10227
653	7896	10215
654	7909	10203
655	7923	10194
656	7936	10183
657	7947	10170
658	7959	10157
659	7970	10144
660	7983	10132
661	7994	10120
662	8009	10111
663	8021	10099
664	8033	10087
665	8045	10074
666	8056	10061
667	8066	10047
668	8079	10035
669	8092	10024
670	8103	10011
671	8116	10000
672	8129	9989
673	8143	9979
674	8153	9965
675	8165	9953
676	8179	9943
677	8192	9932
678	8205	9921
679	8217	9908
680	8229	9897
681	8241	9885
682	8254	9874
683	8270	9866
684	8281	9852
685	8293	9841
686	8307	9830
687	8320	9819
688	8332	9808
689	8346	9797
690	8357	9784
691	8370	9773
692	8381	9760
693	8394	9748
694	8406	9736
695	8419	9725
696	8430	9712
697	8441	9699
698	8452	9685
699	8462	9671
700	8474	9658
701	8485	9645
702	8498	9635
703	8510	9622
704	8525	9613
705	8539	9604
706	8551	9592
707	8563	9579
708	8576	9568
709	8588	9555
710	8601	9545
711	8613	9533
712	8625	9520
713	8639	9510
714	8651	9498
715	8660	9483
716	8673	9472
717	8685	9459
718	8697	9447
719	8709	9434
720	8721	9422
721	8732	9409
722	8744	9397
723	8755	9384
724	8766	9370
725	8776	9356
726	8790	9346
727	8804	9336
728	8819	9327
729	8834	9318
730	8846	9306
731	8859	9294
732	8872	9283
733	8885	9273
734	8896	9259
735	8908	9247
736	8921	9236
737	8934	9225
738	8946	9213
739	8958	9200
740	8971	9189
741	8984	9177
742	8995	9165
743	9007	9152
744	9019	9140
745	9031	9127
746	9042	9115
747	9054	9102
748	9066	9090
749	9074	9074
750	9087	9063
751	9099	9051
752	9111	9039
753	9123	9026
754	9137	9016
755	9150	9005
756	9162	8992
757	9173	8979
758	9186	8968
759	9196	8954
760	9208	8941
761	9218	8928
762	9228	8914
763	9241	8903
764	9253	8890
765	9263	8876
766	9276	8865
767	9288	8852
768	9299	8840
769	9310	8827
770	9322	8814
771	9334	8802
772	9345	8789
773	9356	8776
774	9369	8764
775	9381	8752
776	9392	8739
777	9405	8728
778	9416	8715
779	9429	8704
780	9441	8692
781	9452	8679
782	9463	8665
783	9474	8653
784	9488	8642
785	9499	8629
786	9511	8617
787	9522	8604
788	9535	8592
789	9546	8579
790	9559	8568
791	9571	8556
792	9583	8543
793	9595	8531
794	9607	8519
795	9619	8507
796	9632	8496
797	9643	8483
798	9656	8472
799	9669	8460
