iter	RMSE
791	1.174301452
792	1.174200704
793	1.174137947
794	1.174097337
795	1.174029637
796	1.173964308
797	1.173916994
798	1.173853044
799	1.173825734
800	1.173741311
801	1.17366374
802	1.173628726
803	1.173615074
804	1.173552204
805	1.173505156
806	1.173431337
807	1.173374044
808	1.173361175
809	1.173318475
810	1.173193529
811	1.173173005
812	1.173121275
813	1.173042229
814	1.173028783
815	1.172941492
816	1.172894202
817	1.172825804
818	1.172765041
819	1.172690319
820	1.172645772
821	1.172570974
822	1.172506461
823	1.172446756
824	1.172356536
825	1.17231344
826	1.172242415
827	1.172152839
828	1.172126076
829	1.17209959
830	1.172012398
831	1.171951039
832	1.171902266
833	1.17189733
834	1.171834284
835	1.171764087
836	1.171675602
837	1.171659542
838	1.171643934
839	1.171627585
840	1.171571179
841	1.171500326
842	1.171465262
843	1.171427333
844	1.171361161
845	1.171313396
846	1.171312166
847	1.171224503
848	1.17110221
849	1.171008002
850	1.170961936
851	1.170920954
852	1.170835826
853	1.170799581
854	1.170767877
855	1.170744151
856	1.170733974
857	1.170697143
858	1.170641051
859	1.170561658
860	1.170492294
861	1.170425556
862	1.170395674
863	1.170356473
864	1.170303064
865	1.170282334
866	1.170208112
867	1.170192249
868	1.170149923
869	1.170095542
870	1.170002684
871	1.169937717
872	1.169873194
873	1.169801444
874	1.169776219
875	1.169742129
876	1.16971389
877	1.169700537
878	1.16965443
879	1.169644568
880	1.169582586
881	1.169499338
882	1.169446025
883	1.1693732
884	1.169339863
885	1.169299829
886	1.169284262
887	1.169243883
888	1.169152514
889	1.169134394
890	1.169026209
891	1.168949636
892	1.168887543
893	1.168815965
894	1.168742174
895	1.168690385
896	1.168662146
897	1.168602603
898	1.168560685
899	1.168546747
900	1.168483341
901	1.168433032
902	1.168386426
903	1.168346264
904	1.168332385
905	1.16828921
906	1.168261725
907	1.168243956
908	1.168218159
909	1.168135495
910	1.168094025
911	1.167990653
912	1.167975215
913	1.167891527
914	1.167846781
915	1.167791674
916	1.167766938
917	1.167688222
918	1.167610077
919	1.167532035
920	1.167481785
921	1.167450307
922	1.167411018
923	1.167372957
924	1.167361106
925	1.167319711
926	1.16725592
927	1.167187809
928	1.167106342
929	1.167085356
